ArraySize,Cutoff,Threads,AvgTime(ms),cutoff/size
1000000,256000,16,16,0.25600
1000000,512000,16,26,0.51200
1000000,250,32,44,0.00025
1000000,500,32,41,0.00050
1000000,1000,32,36,0.00100
1000000,2000,32,32,0.00200
1000000,4000,32,31,0.00400
1000000,8000,32,28,0.00800
1000000,16000,32,24,0.01600
1000000,32000,32,20,0.03200
1000000,64000,32,18,0.06400
1000000,128000,32,15,0.12800
1000000,256000,32,17,0.25600
1000000,512000,32,26,0.51200
1000000,250,64,42,0.00025
1000000,500,64,38,0.00050
1000000,1000,64,36,0.00100
1000000,2000,64,32,0.00200
1000000,4000,64,28,0.00400
1000000,8000,64,25,0.00800
1000000,16000,64,23,0.01600
1000000,32000,64,20,0.03200
1000000,64000,64,18,0.06400
1000000,128000,64,15,0.12800
1000000,256000,64,17,0.25600
1000000,512000,64,26,0.51200
2000000,250,2,96,0.00013
2000000,500,2,86,0.00025
2000000,1000,2,82,0.00050
2000000,2000,2,76,0.00100
2000000,4000,2,69,0.00200
2000000,8000,2,61,0.00400
2000000,16000,2,56,0.00800
2000000,32000,2,47,0.01600
2000000,64000,2,43,0.03200
2000000,128000,2,39,0.06400
2000000,256000,2,32,0.12800
2000000,512000,2,35,0.25600
2000000,250,4,92,0.00013
2000000,500,4,89,0.00025
2000000,1000,4,79,0.00050
2000000,2000,4,75,0.00100
2000000,4000,4,69,0.00200
2000000,8000,4,62,0.00400
2000000,16000,4,56,0.00800
2000000,32000,4,48,0.01600
2000000,64000,4,44,0.03200
2000000,128000,4,37,0.06400
2000000,256000,4,31,0.12800
2000000,512000,4,34,0.25600
2000000,250,8,94,0.00013
2000000,500,8,88,0.00025
2000000,1000,8,82,0.00050
2000000,2000,8,76,0.00100
2000000,4000,8,67,0.00200
2000000,8000,8,62,0.00400
2000000,16000,8,56,0.00800
2000000,32000,8,49,0.01600
2000000,64000,8,43,0.03200
2000000,128000,8,38,0.06400
2000000,256000,8,32,0.12800
2000000,512000,8,35,0.25600
2000000,250,16,96,0.00013
2000000,500,16,88,0.00025
2000000,1000,16,82,0.00050
2000000,2000,16,75,0.00100
2000000,4000,16,69,0.00200
2000000,8000,16,63,0.00400
2000000,16000,16,56,0.00800
2000000,32000,16,48,0.01600
2000000,64000,16,42,0.03200
2000000,128000,16,37,0.06400
2000000,256000,16,31,0.12800
2000000,512000,16,34,0.25600
2000000,250,32,96,0.00013
2000000,500,32,89,0.00025
2000000,1000,32,82,0.00050
2000000,2000,32,76,0.00100
2000000,4000,32,66,0.00200
2000000,8000,32,63,0.00400
2000000,16000,32,54,0.00800
2000000,32000,32,49,0.01600
2000000,64000,32,42,0.03200
2000000,128000,32,39,0.06400
2000000,256000,32,31,0.12800
2000000,512000,32,34,0.25600
2000000,250,64,96,0.00013
2000000,500,64,89,0.00025
2000000,1000,64,79,0.00050
2000000,2000,64,76,0.00100
2000000,4000,64,69,0.00200
2000000,8000,64,62,0.00400
2000000,16000,64,52,0.00800
2000000,32000,64,50,0.01600
2000000,64000,64,43,0.03200
2000000,128000,64,38,0.06400
2000000,256000,64,31,0.12800
2000000,512000,64,35,0.25600
